
,Text,Label
0,"おかえりなさいミカンさん😄
楽しんできたようでなにより😆👍✨
ゆっくり休んでください 🍵",0
1,"さん
ご参加ありがとうございます 
動画で当たりが出た方は、数日以内にDMにてご連絡します❗️

次回のキャンペーンもお楽しみに👍

▼マグカップで北海道シチューについてはこちら… ",0
2,"フォローさせてもらいます^_^
よろしくお願いします ",0
3,"っしゃー✨

なんとか運極出来たでー。
時間が足りんかと思ったが、
アイテム使いまくりで
なんとかなった❗️

美容院にもちゃんと間に合った
から良かった。
起きたら予約時間の30分前で
ちと焦ったけど💧
髪ちょっとしか切ってない… ",0
4,"ひろちゃん💕お疲れ様～ 
今日はやっと焼き鳥も当たったから～ラッキーdayだったのかも😂w",0
5,たこ焼きペロッとたべちゃった😋３箱(2人で食べる)買おうと思ったけど。欲張ってはならんな！と２箱にしたけど…これは食べられたな。カード２枚もらった。良かったね愈史郎。私が１つしか買わなかったら離れ離れでしたぞ！  ,0
6,"わかります､本当にお前17歳か？高校生か？幼稚園や小学生ではなく？？ってなりますよね(わかり哲也)
アンリもディアボロ先生もぽわぽわしてるのめちゃくちゃ可愛いですね？隙あらばディアボロ先生〜！ってわち… ",0
7,"はらみ肉ありがとう😭💕
りぶしか勝たんwwww
はらみもいけるとこまで頑張るぞ 
指導料いるけどしっかり教えるからね！",0
8,"ジェジュン😆感謝状頂いたのね。見せてくれてありがとう〜😄
個人的に何も出来ないけれどジェジュンのおかげで微力ながらも協力出来たと思えて凄く嬉しいです 💕
ジェジュンありがとう",0
9,"わーぼうくまさん買いたいなーーー   
え？？
そうですよ、2匹目ですよ？？
当たり前じゃないですか",0
10,"久しぶりのパンプルムゥスさん♪
相変わらず可愛い店内 
　＃仙台
　＃カフェ
　＃パンプルムゥス
　＃フレンチトースト
　＃アヒル大量発生 ",0
11,まだ少し心配ですが、とりあえずよかったです ,0
12,こんにちは♪ワタクシのご先祖さま達も納骨しています(=^^=)たまに行くと気持ちが落ち着きます ,0
13,"もー‼︎‼︎って言っても絶対美味しいと言い張る菅田君と
食べて爆笑して、ごめん💦って言う菅田君と
どっちも想像つくね🥰
微妙な空気作る困ったプレゼント魔🎁なのかもだけどw
全部愛あってだし、なんか… ",0
14,楽しかった  ,0
15,"ムーさん
ありがとう 
こちらこそよろしくね😆",0
16,やったよぉぉぉぉ！！！！嬉しい ありがとう！！！,0
17,"
あ、今日は名前変わってない！？(そうじゃない)
ID打つ時にピザが無性に食べたくなりました
えみちゃのおうただいすきです！！
枠であった時とかにこさめちゃ！って言ってくれるのもいつも嬉しい ",0
18,"見るからに食べれなさそうだね…💦
食べれるきのこはきのこごはんにするのかな？  💡",0
19,"ほんといい迷惑じゃない？ひなた履けさせたいとか知らんねん 
いちいち文句たれんなら声掛けてくんな👋🐵",0
20,キノボでお待ちしてます ,0
21,"デジカもあるのでお財布がヤバいです😂
ラストワンは様子見て商品が減ってきたら追います ",0
22,今夜のアメトーーク！「ちょっと弾けますギター芸人」だ見なきゃ ,0
23,ありがとうございます 健康でないと出来ないこと増えちゃいますからね！そして早くコロナ収まって欲しいです！！,0
24,"やさしさあふれる豆乳鍋 を選んでくれたあなたにはいつもリードしてくれる優しい鍋好き男子との ホッ豆乳ラブストーリー をお届け📖💘

最後まで見て一緒に ホッ豆乳 してみてください … ",0
25,だね ,0
26,なのですすすす～ ✨,0
27,ALFEEの楽曲は何べんも聴いてるからねー ,0
28,"本当ですね 
ふる君が一緒じゃないのに
おむ君関連のツイートも
ちゃんと見てくれてるんですね💙",0
29,目覚めから嬉しいっていいね💕 ,0
30,"みきさん
こんにちは 

息子さん流石ですね💖✨
将来の楽しみにしてます😍✨",0
31,"お読みいただきありがとうございます🙏
なんか、別ジャンルも書いてみたくて……迷走中です 
てぃあらさんみたいな読者に支えていただいています😂",0
32,"2020.11.04
いい推しの日

melody・歌うたいのバラッド・東京
リクエストした曲全部歌ってくれた推し最高やん❤

会えなさすぎて気持ちが以前と同じように保てなかったけどこれからも推していきます 

TSUKASA… ",0
33,"ありがとうございます 
午後からだったので、釣れればいいかなーくらいでやってみると短時間で自分含めこのサイズが6〜7枚上がってました😎",0
34,"ありがとうございます 
本当ですよね✨✨",0
35,送ったよ〜 ,0
36,"もちろんですよ 
もらったらモンハンのパートナーにして横でやってもらいます✌️",0
37,嘘はダメだよ。  ,0
38,今年賞与たくさんもらえそう ,0
39,"10回キュンとします💕
何より何より釘付けになったのは椅子に座って丸くなってあれをしてるとこ😭スタッフ様、あそこを撮ってくれてメイキングに入れてくれてありがとうございます✨✨今日も嵐が大好きだ😭
何度も観て細かいところも見つけていきたいな 
（ウィキポンダンスも好き💚）",0
40,"初めまして❗️フォローして頂きありがとうございます 
よろしくおねがいします🤲",0
41,"GSさん、お疲れ様でした🌸

GSさんの大量売りで私の売り玉助かりますね！お待ちしてます 💖",0
42,"サポポありがとうございます 
昨日は飲み過ぎて寝落ちしました。
これから仕事です。
＃サポリア ",0
43,ぜひともお願いします ,0
44,ですね 明日も期待です‼️,0
45,"上の方々はオペレーターの気持ちを考えましょう
お客さんは店内の様子を見てほしい

みんながみんな無慈悲すぎて
ムカムカ止まらなかったわ

新しい商品を出す前にどんどん新しいやつ採用して昼に入生をどんどんよこせ ",0
46,キョーリンさんより色々な試供品をいただきました ウチで何かお買い物してくれた方に差し上げますのでお声がけください👍👍 ,0
47,"通知来てなよ、本当に配信した？？
先輩の通知は、朝方ノミだけどねぇ 
てか、先輩、良くやるわね、事故ｗｗ",0
48,喜びで逝きかけたわ…危なかった… ,0
49,良かったです ,0
50,"しまむらはごちゃごちゃしてる分
宝探し感覚で楽しいです🥰✨

キャンセル品にも出会えるかもだし‥🤗💓

夕方冷えるので、あったかくして下さいねー ",0
51,"健ちゃんありがとう 🙆
健ちゃんと森口さんと森くんがいたから始まった
夢がMORIMORI 
これからも夢が叶いますように  ",0
52,"ナリさん、初めまして✨
フォローさせていただきました🌸
よろしくお願い致します 💕",0
53,"りっちゃ〜ん✨
うち、キノコ収穫する暇が無くて🤣
良かったらキノコ狩り来て〜🤣
持って帰っても大丈夫よ ",0
54,"【ポンドドル 保有比率】※15:00更新

売り[ショート]：49.65%
買い[ロング]：50.35%

チャンスの時は、ハイレバの海外FXで儲けよう 

【ポンドドル】1万通貨の必要証拠金

・国内FX → 約56,000円… ",0
