Epoch 1/25 | train |  Loss: 2.5812 Acc: 0.5059
Epoch 1/25 |  val  |  Loss: 2.3527 Acc: 0.5606
Epoch 2/25 | train |  Loss: 2.4244 Acc: 0.5727
Epoch 2/25 |  val  |  Loss: 2.3490 Acc: 0.5721
Epoch 3/25 | train |  Loss: 2.3630 Acc: 0.5931
Epoch 3/25 |  val  |  Loss: 2.4065 Acc: 0.5283
Epoch 4/25 | train |  Loss: 2.3096 Acc: 0.6091
Epoch 4/25 |  val  |  Loss: 2.2204 Acc: 0.5963
Epoch 5/25 | train |  Loss: 2.2715 Acc: 0.6216
Epoch 5/25 |  val  |  Loss: 2.2154 Acc: 0.6151
Epoch 6/25 | train |  Loss: 2.2328 Acc: 0.6332
Epoch 6/25 |  val  |  Loss: 2.1934 Acc: 0.6220
Epoch 7/25 | train |  Loss: 2.2002 Acc: 0.6471
Epoch 7/25 |  val  |  Loss: 2.1187 Acc: 0.6415
Epoch 8/25 | train |  Loss: 2.1599 Acc: 0.6556
Epoch 8/25 |  val  |  Loss: 2.1420 Acc: 0.6247
Epoch 9/25 | train |  Loss: 2.1261 Acc: 0.6691
Epoch 9/25 |  val  |  Loss: 2.0768 Acc: 0.6508
Epoch 10/25 | train |  Loss: 2.0783 Acc: 0.6834
Epoch 10/25 |  val  |  Loss: 2.0298 Acc: 0.6670
Epoch 11/25 | train |  Loss: 2.0447 Acc: 0.6949
Epoch 11/25 |  val  |  Loss: 2.0101 Acc: 0.6660
Epoch 12/25 | train |  Loss: 1.9995 Acc: 0.7062
Epoch 12/25 |  val  |  Loss: 1.9513 Acc: 0.6883
Epoch 13/25 | train |  Loss: 1.9628 Acc: 0.7147
Epoch 13/25 |  val  |  Loss: 1.9574 Acc: 0.6853
Epoch 14/25 | train |  Loss: 1.9160 Acc: 0.7309
Epoch 14/25 |  val  |  Loss: 1.9503 Acc: 0.6861
Epoch 15/25 | train |  Loss: 1.8597 Acc: 0.7449
Epoch 15/25 |  val  |  Loss: 1.9580 Acc: 0.6895
Epoch 16/25 | train |  Loss: 1.8244 Acc: 0.7527
Epoch 16/25 |  val  |  Loss: 1.8996 Acc: 0.6853
Epoch 17/25 | train |  Loss: 1.7719 Acc: 0.7692
Epoch 17/25 |  val  |  Loss: 1.8933 Acc: 0.7003
Epoch 18/25 | train |  Loss: 1.7179 Acc: 0.7793
Epoch 18/25 |  val  |  Loss: 1.8780 Acc: 0.7079
Epoch 19/25 | train |  Loss: 1.6720 Acc: 0.7903
Epoch 19/25 |  val  |  Loss: 1.8510 Acc: 0.7000
Epoch 20/25 | train |  Loss: 1.6118 Acc: 0.8066
Epoch 20/25 |  val  |  Loss: 1.8790 Acc: 0.7061
Epoch 21/25 | train |  Loss: 1.5559 Acc: 0.8159
Epoch 21/25 |  val  |  Loss: 1.8521 Acc: 0.7064
Epoch 22/25 | train |  Loss: 1.5077 Acc: 0.8247
Epoch 22/25 |  val  |  Loss: 1.8574 Acc: 0.7164
Epoch 23/25 | train |  Loss: 1.4540 Acc: 0.8366
Epoch 23/25 |  val  |  Loss: 1.8488 Acc: 0.7066
Epoch 24/25 | train |  Loss: 1.3979 Acc: 0.8482
Epoch 24/25 |  val  |  Loss: 1.8213 Acc: 0.7196
Epoch 25/25 | train |  Loss: 1.3454 Acc: 0.8574
Epoch 25/25 |  val  |  Loss: 1.8281 Acc: 0.7198
