num,feature
95,"今日 から ブーツ に 変え た こと すっかり 忘れ て て スニーカー で 歩い てる 気持ち の まま ヒール ひっかけ て 転ぶ と か 言う なん と も アホ くさ さ 全開 で 怪我 し てる だけ だ から 気 に し ない で 😭😭 ありがと 😭😭😭 
"
954,"す から の スト だけ み て き た けど … 4 - 12 … ありがとう … 😇😇😇 
"
819,"なん か 最近 リ ツイート しか ない 気 が する 😇 がんばり ます ね 😅 
"
11,"わ お ！ ！ それ は 、 、 😱😱 本当 念 に は 念 を 、 、 です ね 😱 
"
888,"✨ 😆👉🍚 ✨ ( それ は ライス 😑 ) 
"
132,"お は ヨハネ です 。 😈 セガ の ゲーセン 撤退 は 惜しい です ね 。 プライズ は 残る と 思い ます が 。 
"
1123,"眠気 が やば すぎる 😪 結局 夜 ちゃんと 寝 て も 寝 なく て も 眠気 は くるっ て は なし 😇😇😇 パネポン やり たい ( ・ ▽ ・ ） スプラ も やり たい ( ・ ▽ ・ ） 目覚める やつ やり たい 😇😇😇 
"
204,"メリー さん こん 🍞 は 〜 😊 今日 は ラーメン 食べ まし た ！ 
"
765,"今 10 % 切っ た … … 真っ黒 に 汚れる から 職場 に 持っ て き て ない の 😱 
"
87,"お ！ 9 キロ 凄い です よ 😳 そー な ん です よ ！ プラス さ れ て 話 が 大きく なる の が 尚更 腹 ただしい です 😤 ありがとう ござい ます (∩´∀`∩) 
"
683,"困っ た 時 の 神頼み 🙏🏽 なら ぬ "" 和美 "" 頼み 😆 おおきに ー 😚 
"
257,"新 マップ 1 時間 くらい 触っ て 見 た 感じ マップ 広 すぎ て パテ 構成 も 武器 レンジ も よく 分から んかっ た 😅 
"
801,"また 買っ たら 綺羅 ちゃん だっ た の で 💦 いつ も は 綺羅 ちゃん 探す 側 です が 😭 【 交換 希望 】 譲 → 綺羅 ちゃん 求 → 美咲 ちゃん 宜しく お 願い し まー す ❕ 
"
308,"酷く ない です か ー 😤 ⁉ ️ w 私 は 若い つもり で いる の に www 
"
583,"【 鬼 滅 の 刃 】 『 劇場 版 「 鬼 滅 の 刃 」 無限 列車 編 』 👺🌊 絶賛 公開 中 🌊👺 【 HMV キャンペーン 実施 中 】 💿 映画 半券 提示 で 『 クリア しおり 』 配布 中 ❣ ️ 第 二 弾 は 、 柱 の 方々 😆 ✨ 💿 対象 商品 ご 購入 で 『 ポストカード 』 配布 中 ❣ ️ 🎥 「 鬼 滅 の 刃 」 … 
"
